Pos.,Pts,Piloto,Equipo,Time / Gap
1,25,89J. Martin,Prima Pramac Racing,41:33.4210
2,20,72M. Bezzecchi,Mooney VR46 Racing Team,1.350
3,16,1F. Bagnaia,Ducati Lenovo Team,3.812
1,25,41A. Espargaro,Aprilia Racing,38:56.1590
2,20,12M. Viñales,Aprilia Racing,+0.377
3,16,89J. Martin,Prima Pramac Racing,2.831
1,25,1F. Bagnaia,Ducati Lenovo Team,42:23.3150
2,20,33B. Binder,Red Bull KTM Factory Racing,5.191
3,16,72M. Bezzecchi,Mooney VR46 Racing Team,7.708
1,25,54F. Aldeguer,GT Trevisan SpeedUp,35:37.7580
2,20,40A. Canet,Pons Wegow Los40,2.546
3,16,37P. Acosta,Red Bull KTM Ajo,3.883
1,25,96J. Dixon,GASGAS Aspar Team,35:43.4110
2,20,79A. Ogura,IDEMITSU Honda Team Asia,1.334
3,16,37P. Acosta,Red Bull KTM Ajo,4.448
1,25,14T. Arbolino,ELF Marc VDS Racing Team,22:34.2330
2,20,12F. Salac,QJMOTOR Gresini Moto2™,+0.620
3,16,21A. Lopez,GT Trevisan SpeedUp,1.537
1,25,1F. Bagnaia,Ducati Lenovo Team,39:29.0850
2,20,33B. Binder,Red Bull KTM Factory Racing,+0.221
3,16,43J. Miller,Red Bull KTM Factory Racing,1.119
1,25,42A. Rins,LCR Honda,41:14.6490
2,20,10L. Marini,Mooney VR46 Racing Team,3.498
3,16,20F. Quartararo,Monster Energy Yamaha MotoGP™,4.936
1,25,1F. Bagnaia,Ducati Lenovo Team,41:25.4010
2,20,12M. Viñales,Aprilia Racing,+0.687
3,16,72M. Bezzecchi,Mooney VR46 Racing Team,2.726
1,25,42A. Rins,Team SUZUKI ECSTAR,41:22.2500
2,20,33B. Binder,Red Bull KTM Factory Racing,+0.396
3,16,89J. Martin,Prima Pramac Racing,1.059
1,25,42A. Rins,Team SUZUKI ECSTAR,40:50.6540
2,20,93M. Marquez,Repsol Honda Team,+0.186
3,16,63F. Bagnaia,Ducati Lenovo Team,+0.224
1,25,43J. Miller,Ducati Lenovo Team,42:29.1740
2,20,33B. Binder,Red Bull KTM Factory Racing,3.409
3,16,89J. Martin,Prima Pramac Racing,4.136
1,25,63F. Bagnaia,Ducati Lenovo Team,42:14.8860
2,20,20F. Quartararo,Monster Energy Yamaha MotoGP™,+0.492
3,16,43J. Miller,Ducati Lenovo Team,2.163
1,25,63F. Bagnaia,Ducati Lenovo Team,40:25.2050
2,20,72M. Bezzecchi,Mooney VR46 Racing Team,+0.444
3,16,12M. Viñales,Aprilia Racing,1.209
1,25,20F. Quartararo,Monster Energy Yamaha MotoGP™,40:29.3600
2,20,89J. Martin,Prima Pramac Racing,6.473
3,16,5J. Zarco,Prima Pramac Racing,8.385
1,25,23E. Bastianini,Gresini Racing MotoGP™,41:34.6130
2,20,43J. Miller,Ducati Lenovo Team,2.718
3,16,41A. Espargaro,Aprilia Racing,4.182
1,25,63F. Bagnaia,Ducati Lenovo Team,41:00.5540
2,20,20F. Quartararo,Monster Energy Yamaha MotoGP™,+0.285
3,16,41A. Espargaro,Aprilia Racing,10.977
1,25,23E. Bastianini,Gresini Racing MotoGP™,41:23.1110
2,20,42A. Rins,Team SUZUKI ECSTAR,2.058
3,16,43J. Miller,Ducati Lenovo Team,2.312
1,25,23E. Bastianini,Gresini Racing MotoGP™,42:13.1980
2,20,33B. Binder,Red Bull KTM Factory Racing,+0.346
3,16,44P. Espargaro,Repsol Honda Team,1.351
1,25,37P. Acosta,Red Bull KTM Ajo,35:15.3150
2,20,14T. Arbolino,ELF Marc VDS Racing Team,2.730
3,16,96J. Dixon,GASGAS Aspar Team,2.825
1,25,37P. Acosta,Red Bull KTM Ajo,35:38.3280
2,20,14T. Arbolino,ELF Marc VDS Racing Team,6.194
3,16,96J. Dixon,GASGAS Aspar Team,8.582
1,25,14T. Arbolino,ELF Marc VDS Racing Team,26:26.6060
2,20,21A. Lopez,GT Trevisan SpeedUp,+0.663
3,16,96J. Dixon,GASGAS Aspar Team,1.961
1,25,14T. Arbolino,ELF Marc VDS Racing Team,38:25.2330
